game_id,strategy,total_turns,final_score,max_expression,min_expression,negative_count,negative_rate,phase0_turns,phase1_turns,phase2_turns,phase3_turns,end_board_occupancy
367,RandomStrategy,16,76218,76218,76218,0,0.0000,16,0,0,0,0.5185
368,RandomStrategy,21,61450,61349,101,0,0.0000,21,0,0,0,0.6049
369,RandomStrategy,13,0,0,0,0,0.0000,13,0,0,0,0.6049
370,RandomStrategy,14,0,0,0,0,0.0000,14,0,0,0,0.6049
371,RandomStrategy,16,469783,469721,-24,1,0.3333,16,0,0,0,0.4321
372,RandomStrategy,20,3499,3489,10,0,0.0000,20,0,0,0,0.6049
373,RandomStrategy,12,0,0,0,0,0.0000,12,0,0,0,0.5926
374,RandomStrategy,15,0,0,0,0,0.0000,15,0,0,0,0.6790
375,RandomStrategy,15,6416375,6416375,6416375,0,0.0000,15,0,0,0,0.5926
376,RandomStrategy,24,85954,76252,39,0,0.0000,18,6,0,0,0.5802
377,RandomStrategy,13,1,1,1,0,0.0000,13,0,0,0,0.5309
378,RandomStrategy,14,0,0,0,0,0.0000,14,0,0,0,0.6667
379,RandomStrategy,18,24281,24224,57,0,0.0000,18,0,0,0,0.5185
380,RandomStrategy,25,61168,61078,24,0,0.0000,22,3,0,0,0.6049
381,RandomStrategy,27,31728,31111,12,0,0.0000,17,10,0,0,0.5556
382,RandomStrategy,12,6,6,6,0,0.0000,12,0,0,0,0.5432
383,RandomStrategy,11,0,0,0,0,0.0000,11,0,0,0,0.5185
384,RandomStrategy,15,39,39,39,0,0.0000,15,0,0,0,0.6049
385,RandomStrategy,18,2182828,2182828,2182828,0,0.0000,18,0,0,0,0.6914
386,RandomStrategy,14,0,0,0,0,0.0000,14,0,0,0,0.5926
387,RandomStrategy,13,0,0,0,0,0.0000,13,0,0,0,0.6543
388,RandomStrategy,13,0,0,0,0,0.0000,13,0,0,0,0.5556
389,RandomStrategy,27,385627,346514,3,0,0.0000,22,5,0,0,0.6914
390,RandomStrategy,13,0,0,0,0,0.0000,13,0,0,0,0.6049
391,RandomStrategy,16,0,0,0,0,0.0000,16,0,0,0,0.6790
392,RandomStrategy,16,0,0,0,0,0.0000,16,0,0,0,0.6914
393,RandomStrategy,18,148,145,3,0,0.0000,18,0,0,0,0.6173
394,RandomStrategy,18,8715,8711,4,0,0.0000,18,0,0,0,0.5679
395,RandomStrategy,16,8796,8796,8796,0,0.0000,16,0,0,0,0.6049
396,RandomStrategy,20,244919,244919,244919,0,0.0000,20,0,0,0,0.6790
397,RandomStrategy,18,23341,23271,70,0,0.0000,18,0,0,0,0.6543
398,RandomStrategy,18,33,33,33,0,0.0000,18,0,0,0,0.7037
399,RandomStrategy,17,31,31,31,0,0.0000,17,0,0,0,0.5802
400,RandomStrategy,15,0,0,0,0,0.0000,15,0,0,0,0.6173
401,RandomStrategy,19,15557,15563,-6,1,0.5000,19,0,0,0,0.6296
402,RandomStrategy,16,563629,563629,563629,0,0.0000,16,0,0,0,0.6049
403,RandomStrategy,19,219767,219651,116,0,0.0000,19,0,0,0,0.6296
404,RandomStrategy,23,85843,52387,112,0,0.0000,21,2,0,0,0.6667
405,RandomStrategy,15,45,45,45,0,0.0000,15,0,0,0,0.6420
406,RandomStrategy,17,6353,6353,6353,0,0.0000,17,0,0,0,0.6049
407,RandomStrategy,13,0,0,0,0,0.0000,13,0,0,0,0.6173
408,RandomStrategy,14,0,0,0,0,0.0000,14,0,0,0,0.6173
409,RandomStrategy,9,0,0,0,0,0.0000,9,0,0,0,0.3580
410,RandomStrategy,15,0,0,0,0,0.0000,15,0,0,0,0.6543
411,RandomStrategy,17,5157,4635,522,0,0.0000,17,0,0,0,0.5556
412,RandomStrategy,13,0,0,0,0,0.0000,13,0,0,0,0.5556
413,RandomStrategy,15,2773,2715,58,0,0.0000,15,0,0,0,0.5062
414,RandomStrategy,14,43496,43496,43496,0,0.0000,14,0,0,0,0.5802
415,RandomStrategy,16,7,7,7,0,0.0000,16,0,0,0,0.5802
416,RandomStrategy,11,0,0,0,0,0.0000,11,0,0,0,0.4815
417,RandomStrategy,19,9224,9224,9224,0,0.0000,19,0,0,0,0.7160
418,RandomStrategy,12,2457,2457,2457,0,0.0000,12,0,0,0,0.5062
419,RandomStrategy,7,0,0,0,0,0.0000,7,0,0,0,0.3951
420,RandomStrategy,20,534,534,534,0,0.0000,20,0,0,0,0.6790
421,RandomStrategy,11,0,0,0,0,0.0000,11,0,0,0,0.4938
422,RandomStrategy,19,1,1,1,0,0.0000,19,0,0,0,0.6667
423,RandomStrategy,22,-1219,1429,-2648,1,0.5000,22,0,0,0,0.6790
424,RandomStrategy,13,0,0,0,0,0.0000,13,0,0,0,0.6296
425,RandomStrategy,15,6420,6420,6420,0,0.0000,15,0,0,0,0.5802
426,RandomStrategy,16,4181,4181,4181,0,0.0000,16,0,0,0,0.6790
427,RandomStrategy,21,6143699,6143551,148,0,0.0000,21,0,0,0,0.7407
428,RandomStrategy,13,0,0,0,0,0.0000,13,0,0,0,0.6296
429,RandomStrategy,23,37,16,8,0,0.0000,23,0,0,0,0.5679
430,RandomStrategy,16,77588,74420,3168,0,0.0000,16,0,0,0,0.4568
431,RandomStrategy,20,759969,757532,2437,0,0.0000,20,0,0,0,0.6790
432,RandomStrategy,20,41,35,6,0,0.0000,20,0,0,0,0.5556
433,RandomStrategy,12,0,0,0,0,0.0000,12,0,0,0,0.5802
434,RandomStrategy,21,-8611,89,-8709,1,0.3333,21,0,0,0,0.5926
435,RandomStrategy,21,47,47,47,0,0.0000,21,0,0,0,0.6543
436,RandomStrategy,15,113,113,113,0,0.0000,15,0,0,0,0.6049
437,RandomStrategy,9,0,0,0,0,0.0000,9,0,0,0,0.5185
438,RandomStrategy,14,0,0,0,0,0.0000,14,0,0,0,0.6296
439,RandomStrategy,14,0,0,0,0,0.0000,14,0,0,0,0.6173
440,RandomStrategy,16,33,33,33,0,0.0000,16,0,0,0,0.5185
441,RandomStrategy,13,0,0,0,0,0.0000,13,0,0,0,0.6049
442,RandomStrategy,19,279,266,12,0,0.0000,19,0,0,0,0.5679
443,RandomStrategy,16,80,80,80,0,0.0000,16,0,0,0,0.5679
444,RandomStrategy,15,12,12,12,0,0.0000,15,0,0,0,0.5926
445,RandomStrategy,14,0,0,0,0,0.0000,14,0,0,0,0.6420
446,RandomStrategy,16,718,718,718,0,0.0000,16,0,0,0,0.6914
447,RandomStrategy,15,0,0,0,0,0.0000,15,0,0,0,0.6914
448,RandomStrategy,14,0,0,0,0,0.0000,14,0,0,0,0.6420
449,RandomStrategy,13,0,0,0,0,0.0000,13,0,0,0,0.6049
450,RandomStrategy,18,260,260,260,0,0.0000,18,0,0,0,0.6049
451,RandomStrategy,18,259,230,29,0,0.0000,18,0,0,0,0.6296
452,RandomStrategy,14,0,0,0,0,0.0000,14,0,0,0,0.6296
453,RandomStrategy,13,0,0,0,0,0.0000,13,0,0,0,0.6420
454,RandomStrategy,12,0,0,0,0,0.0000,12,0,0,0,0.5309
455,RandomStrategy,23,228,249,-130,1,0.3333,17,6,0,0,0.6173
456,RandomStrategy,15,0,0,0,0,0.0000,15,0,0,0,0.6543
457,RandomStrategy,9,0,0,0,0,0.0000,9,0,0,0,0.4444
458,RandomStrategy,17,0,0,0,0,0.0000,17,0,0,0,0.6173
459,RandomStrategy,16,2558,4564,-2462,1,0.5000,16,0,0,0,0.5432
460,RandomStrategy,17,6456,6456,6456,0,0.0000,17,0,0,0,0.6667
461,RandomStrategy,18,0,0,0,0,0.0000,18,0,0,0,0.7160
462,RandomStrategy,22,4149,3463,340,0,0.0000,22,0,0,0,0.6914
463,RandomStrategy,20,6565,6421,144,0,0.0000,20,0,0,0,0.7037
464,RandomStrategy,14,0,0,0,0,0.0000,14,0,0,0,0.6543
465,RandomStrategy,23,1260735,1254745,33,0,0.0000,21,2,0,0,0.6420
466,RandomStrategy,17,56790,56790,56790,0,0.0000,17,0,0,0,0.5432
